11.830926122955 9.255207713382 0.856206690494 0.909760430034 0.710825795954 -0.135332447386 | 0.118971609543 0.041849576709 0.992015306864 -1.623124762558 5.253016058211 2.213627772523
-3.509699164923 0.632173072691 -10.718011321832 0.568270125325 -0.574181502719 -0.500543976063 | -0.000108922995 0.018933266311 0.999820743715 -0.824406975928 0.014647784103 1.445754592661
9.120944630561 11.127026915326 -1.928883096315 -1.672162925137 -0.972810271032 -1.405954361407 | 0.016364284295 0.064187039660 0.997803705214 -2.783727562698 0.735043904979 0.218533312708
5.138365568126 -10.439052356886 -1.744383215958 -0.271974505810 -0.194660222587 -0.698858587836 | 0.040181701195 0.016769889003 0.999051651173 -0.634782858371 1.743026161144 2.383278649293
-12.812656575577 9.711425449763 0.279367786567 -0.204295869533 -0.495644575001 0.841464128520 | 0.009395910078 0.136616810195 0.990579408249 -5.950105084381 0.636931779973 2.008838609853
13.528073608226 -6.217922769053 -2.447869036704 -0.171578617021 -0.026959305843 1.631405741999 | 0.004177904677 -0.035513045490 0.999360479863 1.542011601128 0.185224403897 0.213855348409
7.247323092021 -6.427552781515 -1.259944944850 1.478135421631 0.632474642007 -0.233834110507 | 0.041357255765 -0.037897338629 0.998425444948 1.505891032721 1.921469521266 -4.645004851861
-2.725324448728 6.653099755172 3.658544586619 -0.146370157370 -1.839332190470 -0.682743151168 | 0.017576758964 -0.007033892351 0.999820774891 0.280389503636 0.770374129176 -1.371135484357
13.167006240709 -10.645617094023 7.427582255507 0.446069063148 1.023089944917 -1.519413825469 | 0.044671511342 -0.028038372501 0.998608184295 1.142113732476 1.993787413886 -1.087721510985
1.523318606571 -3.669781866237 -8.918949616168 1.191041139343 0.460001472523 0.676065874087 | 0.032787547296 -0.054718075019 0.997963380595 2.337927272194 1.511099431287 -1.927280057841
-3.953241834544 4.516235679791 3.949106611264 0.438528569155 -0.644707958533 1.223256752436 | 0.014970614693 -0.049453203637 0.998664238544 2.195020217427 0.521268078881 3.511532123343
-8.134942924713 7.593411748120 -3.155572157998 1.739481724169 -0.480499993037 1.064552548890 | 0.013552361676 0.062746395495 0.997937484688 -2.757221390563 0.573180351359 -0.458022752563
3.077736433210 -1.772947837295 -9.417392340407 -0.064109270939 1.366477559284 1.708494639697 | 0.049085876977 -0.003644285295 0.998787913356 -0.009705840537 2.157467681743 -4.582378654639
13.006620318553 3.897073532519 -7.836246909805 0.519565497143 -0.370275876066 1.108225133278 | 0.049228723525 -0.032424547948 0.998261078812 1.523874316758 2.064062972033 3.116623960957
-1.201420586952 8.515657534043 7.371057688340 0.729665563243 1.280850490586 -0.831911774633 | 0.019867848132 -0.035047962950 0.999188124881 1.473979762823 0.819143386819 -2.555292683413
-8.311281530871 6.896647038552 3.529536176950 -0.160129369541 -0.129574108353 -0.090281130235 | 0.076039021051 -0.048933743959 0.995903386870 2.209548566902 3.254189204327 1.360566854383
3.396602649029 -10.142340779173 -3.878547592796 1.296907371878 -0.655822442669 -1.114114286275 | 0.045413367967 0.049433455007 0.997744435983 -2.070215219914 2.044319207792 2.084219404025
0.897647788027 9.650048567946 -8.550542361467 0.266201145732 -1.360522676568 0.028651554314 | 0.005622914409 -0.008199297578 0.999950575955 0.369812279394 0.214654577121 4.503181834777
2.344542095518 -10.808154974250 -0.964422825195 -0.464520731454 1.090418233856 0.825544157454 | 0.023271030896 -0.010857326178 0.999670234422 0.381261460674 1.078523685881 -4.567003101964
10.830103749625 0.659837358105 -1.640979720292 1.058836580368 0.849453744489 1.320109496977 | -0.027670333626 0.051520328665 0.998288539637 -2.281020459946 -1.131728783790 1.910685506797
-4.396464165200 -12.166414580126 -12.346917726765 -1.529184987042 -1.084500916185 0.072860289921 | -0.066774699615 -0.006327435369 0.997748015810 0.323276365086 -2.901399476416 -1.148745170363
12.817964409135 -10.729295853980 2.134481053642 0.380602156277 -1.329162332921 0.705453950478 | -0.052149363013 -0.048919739271 0.997440375685 2.053660128706 -2.305973654726 1.605314445016
