11.839169953082 9.261612746671 0.854977936729 0.922183302332 0.712458598593 -0.137662319140 | 0.164869718132 0.058908540313 0.984554599766 -1.577658756083 5.289982549995 2.202418774666
-3.504587769511 0.627003678910 -10.722519005901 0.567578729950 -0.574553231241 -0.501145503324 | -0.000252935936 0.026368377473 0.999652261886 -0.828737555187 0.018910752593 1.449501747918
9.105834871495 11.118253498355 -1.941555056208 -1.685538958455 -0.976893028812 -1.409996460338 | 0.022889551974 0.089227974855 0.995748179468 -2.792010890434 0.745371073807 0.126470633984
5.135888810910 -10.440790054155 -1.750683901425 -0.278329457471 -0.191478179727 -0.701201970445 | 0.055358466542 0.023348079087 0.998193522011 -0.601674315936 1.729244089888 2.366618032225
-12.814542702138 9.706953302514 0.286949866536 -0.214859490730 -0.498131215974 0.843389102335 | 0.012420559063 0.189755125163 0.981752882444 -5.976752265218 0.702982481499 1.975201755474
13.526600744500 -6.218157983378 -2.433192403812 -0.155756016271 -0.025280054609 1.629981031843 | 0.005953086855 -0.049386055248 0.998762022858 1.545657036348 0.192201575765 0.197838654981
7.260672376073 -6.421849386696 -1.262037192712 1.488306283068 0.634951437825 -0.231035102085 | 0.056866950985 -0.053347392390 0.996955468219 1.478174047736 1.957081941800 -4.636432888546
-2.726644321090 6.636504829322 3.652397820244 -0.146927254740 -1.848405002028 -0.683179868196 | 0.024428734536 -0.009773695994 0.999653795969 0.272435080789 0.775271516499 -1.310824205164
13.170881943416 -10.636363908570 7.414115865108 0.415577738618 1.032544879941 -1.473413986882 | 0.062404140363 -0.038694323064 0.997300592915 1.114194849742 2.027644567495 -1.099233796400
1.534033315329 -3.665608511869 -8.912861521661 1.189915972481 0.467327373095 0.676856990589 | 0.045353761121 -0.076383575363 0.996046477714 2.341698868530 1.539652221749 -1.882733556062
-3.949315543758 4.510454361811 3.960123648977 0.433972848714 -0.639973174483 1.224922697017 | 0.021388037249 -0.068702297194 0.997407913656 2.219793614219 0.487767200689 3.573052365414
-8.119286579387 7.589066545588 -3.145969676380 1.739592866649 -0.485093507834 1.069291432518 | 0.019019107559 0.087548810069 0.995978654090 -2.787196010364 0.568855718354 -0.545389073317
3.077171214314 -1.760672965171 -9.401995217451 -0.061419767057 1.361273996297 1.712987883785 | 0.068372822049 -0.005780115410 0.997643096238 -0.050965429851 2.178732439504 -4.535563294806
13.011304148928 3.893742919016 -7.826265283853 0.521283902181 -0.369850394896 1.109877832126 | 0.068791814999 -0.044606605671 0.996633301129 1.559654450419 2.052790975274 3.131041186592
-1.195086284308 8.527358304014 7.363467330593 0.677635634598 1.318789288188 -0.854510262318 | 0.025924284690 -0.048794805317 0.998472332334 1.460876933477 0.753525060033 -2.808875610474
-8.312717631606 6.895475479887 3.528725030492 -0.159008247782 -0.130769837991 -0.089969531164 | 0.105847343909 -0.067727451347 0.992073249373 2.238947568973 3.250310609621 1.345112458336
3.408282081502 -10.148257120283 -3.888562331002 1.298377459091 -0.658920262003 -1.111389352873 | 0.062733215710 0.068943286770 0.995646205665 -2.053181917762 2.064179289671 2.082410970609
0.900007531883 9.637806247731 -8.550277366033 0.258219006326 -1.359901756126 0.030222962095 | 0.007914780100 -0.011260307418 0.999905276380 0.371093313664 0.207267385523 4.477836691827
2.340375740046 -10.798333191547 -0.957001365653 -0.461303808770 1.092177974600 0.823621214644 | 0.032603714839 -0.015314392905 0.999351022989 0.354167505074 1.116048625541 -4.579893356180
10.839644633083 0.667486782967 -1.629081431764 1.061330203391 0.850379892546 1.323913340539 | -0.038831946310 0.071517548894 0.996683159357 -2.301183733705 -1.118739280529 1.914462873734
-4.410206579338 -12.176184938538 -12.346266097345 -1.524624392595 -1.086682163065 0.071983352383 | -0.092932680645 -0.008434006926 0.995636672886 0.339767107508 -2.912357120022 -1.251258792035
12.821424569424 -10.741279536199 2.140802611701 0.388253028837 -1.333883960220 0.699256394999 | -0.072013946084 -0.068149142886 0.995072703823 2.037577369942 -2.310532737848 1.567127042440
7.385969137292 -5.640574785186 3.751183776020 0.533908951581 0.158859854414 -0.935998476059 | 0.015525770979 -0.008502074276 0.999843320310 0.314543037209 0.443486022500 3.067278269159
-1.240734954502 11.696091137229 -2.912941481815 -0.366364870527 1.425315877404 -0.683358467363 | 0.002957339269 0.002727909775 0.999991906294 -0.084982664413 0.117663318878 0.514103095190
11.106296608185 -2.446027332580 -8.650003422181 0.467774813224 2.080037558902 -1.453069787030 | 0.034788768950 0.040717094368 0.998564900135 -1.327620734565 1.033413410747 -1.815750734452
-0.056038834356 -1.748987461663 8.800604644123 -0.009576427705 -0.023385359521 0.030678186654 | -0.003331596529 -0.000776119406 0.999994149035 0.049308558844 -0.206976190455 -0.291093783592
-1.707917117184 -10.848921354190 6.230538869581 0.007988743563 0.005090893552 0.000877222276 | -0.000088346110 0.000112946990 0.999999989719 -0.007063044764 -0.005462547644 -0.082255339099
-12.027296503470 -0.889183867286 3.920772961391 -1.989109343774 -1.994237723980 0.007398056195 | -0.031930113357 0.028100758181 0.999094998111 -0.875041867635 -0.981814387677 -0.035317113890
-0.931642111402 7.306654949627 8.057719786753 1.215310665885 0.001383577490 0.080806860099 | 0.076143594171 -0.130973339292 0.988457453541 4.111657376039 2.378984149476 -0.632286872119
-10.341963524926 8.256665009582 -2.964148780370 -0.528503959211 -0.977096865669 -0.014929266640 | -0.014770806072 -0.075423078866 0.997042216991 2.388710182483 -0.411221377243 0.240301859467
4.304477843600 9.519427814896 4.748071954633 -1.155457283354 1.186724355636 -0.021924428792 | -0.030636473781 0.080628092945 0.996273314459 -2.537755946035 -0.886182256664 -0.950472655066
-10.907276486207 -1.121090227492 0.247968057876 -0.891448928253 -1.156321442088 -0.001918892007 | 0.012692278672 0.034002853902 0.999341138945 -1.063465941504 0.411573836180 -0.000964916463
6.015955629444 -3.503232786922 9.819736939917 0.174746661506 -1.415761474666 0.001413250837 | 0.046755160920 0.030332152479 0.998445749880 -0.952064721374 1.470741597584 -0.009378416532
-3.209316265169 0.210938713418 0.969502679598 0.035583749136 -0.624625932131 -0.000496978102 | 0.056029447831 0.071042007369 0.995898455750 -2.230535899508 1.754173380994 0.011118313459
10.061181805593 0.333717214031 5.732119162034 0.227593197026 0.534162805885 0.026807975262 | -0.026779260189 0.035731149666 0.999002580661 -1.102130621222 -0.882109418057 -0.160942599524
-12.301797584991 -4.885341659596 5.787653642604 -0.181758925054 -0.550040873349 0.001164040124 | -0.049402481218 0.042959532441 0.997854635416 -1.347706239945 -1.554697450479 -0.005038076522
-1.176787643295 5.523085965058 -0.523593744030 0.129203032280 -1.034894022300 -0.014662859488 | -0.061309542356 -0.081364175812 0.994796969693 2.582061611397 -1.925822484729 -0.286781923564
-12.302975555404 -11.797136333805 -11.754371231399 -0.962806544029 -1.279265130313 -0.010426847494 | -0.026803304119 -0.090034387057 0.995577918616 2.839518552297 -0.818795877989 0.023760969789
