0 0 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
1.0001 0 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
2.0002 0 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
3.0003 0 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
4.0004 0 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
5.0005 0 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
6.0006 0 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
7.0007 0 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
8.0008 0 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
9.0009 0 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
10.001 0 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
11.0011 0 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
12.0012 0 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
13.0013 0 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
14.0014 0 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
15.0015 0 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
16.0016 0 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
17.0017 0 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
18.0018 0 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
19.0019 0 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
20.002 0 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
21.0021 0 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
22.0022 0 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
23.0023 0 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
24.0024 0 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
25.0025 0 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
26.0026 0 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
27.0027 0 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
28.0028 0 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
29.0029 0 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
30.003 0 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
31.0031 0 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
32.0032 0 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
33.0033 0 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
34.0034 0 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
35.0035 0 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
36.0036 0 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
-35.7199 0 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
-34.7198 0 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
-33.7197 0 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
-32.7196 0 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
-31.7195 0 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
-30.7194 0 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
-29.7193 0 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
-28.7192 0 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
-27.7191 0 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
-26.719 0 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
-25.7189 0 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
-24.7188 0 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
-23.7187 0 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
-22.7186 0 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
-21.7185 0 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
-20.7184 0 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
-19.7183 0 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
-18.7182 0 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
-17.7181 0 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
-16.718 0 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
-15.7179 0 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
-14.7178 0 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
-13.7177 0 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
-12.7176 0 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
-11.7175 0 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
-10.7174 0 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
-9.71733 0 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
-8.71723 0 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
-7.71713 0 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
-6.71703 0 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
-5.71693 0 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
-4.71683 0 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
-3.71673 0 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
-2.71663 0 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
-1.71653 0 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
0.50005 0.866112 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
1.50015 0.866112 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
2.50025 0.866112 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
3.50035 0.866112 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
4.50045 0.866112 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
5.50055 0.866112 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
6.50065 0.866112 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
7.50075 0.866112 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
8.50085 0.866112 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
9.50095 0.866112 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
10.501 0.866112 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
11.5011 0.866112 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
12.5013 0.866112 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
13.5014 0.866112 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
14.5015 0.866112 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
15.5015 0.866112 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
16.5017 0.866112 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
17.5018 0.866112 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
18.5019 0.866112 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
19.502 0.866112 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
20.5021 0.866112 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
21.5022 0.866112 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
22.5023 0.866112 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
23.5023 0.866112 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
24.5024 0.866112 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
25.5025 0.866112 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
26.5026 0.866112 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
27.5027 0.866112 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
28.5028 0.866112 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
29.5029 0.866112 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
30.503 0.866112 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
31.5031 0.866112 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
32.5033 0.866112 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
33.5033 0.866112 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
34.5035 0.866112 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
35.5035 0.866112 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
-36.22 0.866112 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
-35.2199 0.866112 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
-34.2198 0.866112 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
-33.2197 0.866112 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
-32.2196 0.866112 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
-31.2195 0.866112 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
-30.2194 0.866112 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
-29.2193 0.866112 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
-28.2192 0.866112 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
-27.2191 0.866112 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
-26.219 0.866112 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
-25.2189 0.866112 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
-24.2188 0.866112 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
-23.2187 0.866112 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
-22.2186 0.866112 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
-21.2185 0.866112 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
-20.2184 0.866112 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
-19.2183 0.866112 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
-18.2182 0.866112 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
-17.2181 0.866112 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
-16.218 0.866112 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
-15.2179 0.866112 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
-14.2178 0.866112 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
-13.2177 0.866112 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
-12.2176 0.866112 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
-11.2175 0.866112 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
-10.2174 0.866112 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
-9.21728 0.866112 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
-8.21718 0.866112 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
-7.21708 0.866112 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
-6.21698 0.866112 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
-5.21688 0.866112 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
-4.21678 0.866112 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
-3.21668 0.866112 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
-2.21658 0.866112 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
-1.21648 0.866112 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
0 1.73222 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
1.0001 1.73222 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
2.0002 1.73222 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
3.0003 1.73222 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
4.0004 1.73222 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
5.0005 1.73222 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
6.0006 1.73222 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
7.0007 1.73222 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
8.0008 1.73222 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
9.0009 1.73222 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
10.001 1.73222 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
11.0011 1.73222 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
12.0012 1.73222 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
13.0013 1.73222 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
14.0014 1.73222 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
15.0015 1.73222 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
16.0016 1.73222 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
17.0017 1.73222 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
