0 0 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
1.0001 0 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
2.0002 0 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
3.0003 0 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
4.0004 0 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
5.0005 0 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
6.0006 0 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
7.0007 0 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
8.0008 0 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
9.0009 0 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
10.001 0 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
11.0011 0 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
12.0012 0 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
13.0013 0 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
-13.1428 0 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
-12.1427 0 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
-11.1426 0 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
-10.1425 0 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
-9.14238 0 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
-8.14228 0 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
-7.14218 0 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
-6.14208 0 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
-5.14198 0 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
-4.14188 0 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
-3.14178 0 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
-2.14168 0 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
-1.14158 0 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
0.50005 0.866112 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
1.50015 0.866112 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
2.50025 0.866112 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
3.50035 0.866112 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
4.50045 0.866112 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
5.50055 0.866112 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
6.50065 0.866112 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
7.50075 0.866112 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
8.50085 0.866112 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
9.50095 0.866112 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
10.501 0.866112 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
11.5011 0.866112 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
12.5013 0.866112 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
13.5014 0.866112 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
-12.6427 0.866112 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
-11.6426 0.866112 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
-10.6425 0.866112 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
-9.64243 0.866112 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
-8.64233 0.866112 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
-7.64223 0.866112 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
-6.64213 0.866112 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
-5.64203 0.866112 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
-4.64193 0.866112 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
-3.64183 0.866112 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
-2.64173 0.866112 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
-1.64163 0.866112 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
-0.641526 0.866112 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
0 1.73222 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
1.0001 1.73222 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
2.0002 1.73222 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
3.0003 1.73222 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
4.0004 1.73222 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
5.0005 1.73222 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
6.0006 1.73222 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
7.0007 1.73222 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
8.0008 1.73222 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
9.0009 1.73222 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
10.001 1.73222 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
11.0011 1.73222 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
12.0012 1.73222 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
13.0013 1.73222 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
-13.1428 1.73222 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
-12.1427 1.73222 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
-11.1426 1.73222 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
-10.1425 1.73222 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
-9.14238 1.73222 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
-8.14228 1.73222 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
-7.14218 1.73222 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
-6.14208 1.73222 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
-5.14198 1.73222 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
-4.14188 1.73222 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
-3.14178 1.73222 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
-2.14168 1.73222 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
-1.14158 1.73222 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
0.50005 2.59834 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
1.50015 2.59834 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
2.50025 2.59834 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
3.50035 2.59834 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
4.50045 2.59834 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
5.50055 2.59834 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
6.50065 2.59834 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
7.50075 2.59834 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
8.50085 2.59834 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
9.50095 2.59834 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
10.501 2.59834 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
11.5011 2.59834 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
12.5013 2.59834 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
13.5014 2.59834 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
-12.6427 2.59834 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
-11.6426 2.59834 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
-10.6425 2.59834 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
-9.64243 2.59834 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
-8.64233 2.59834 0 0 0 0 1 0 0 0 1 0 0 0 1  0 0 0 1
27.1442 27.1442 27.1442
